,price (CLP),rooms,size (m2),address
800,430000,2.0,65.0,"Rotonda Concón, La Boca, Concón"
801,725000,2.0,67.0,"8 Norte 310, Viña Del Mar, Valpara..."
803,500000,2.0,70.0,Av. Jardín Del Mar Edificio Ensena...
804,500000,1.0,50.0,"Diego Portales 449, Valparaíso, Ch..."
806,320000,4.0,60.0,"Castillo 278, Valparaíso, Chile, V..."
807,500000,2.0,78.0,"Antofagasta 1 - 300, Valparaíso, V..."
808,400000,1.0,33.0,"Jardín Del Mar-reñaca, Reñaca, Viñ..."
809,650000,3.0,75.0,"Los Abedules, Concón, Chile, Monte..."
810,600000,2.0,54.0,"Edmundo Eluchans, 1800 - 2100, Reñ..."
811,430000,1.0,45.0,"Entrelomas 50, Concón, Chile, Cost..."
812,460000,1.0,50.0,"Los Prunos 400, Concón, Chile, Mon..."
813,750000,2.0,75.0,"San Martín, Libertad, Viña Del Mar"
814,600000,3.0,65.0,"Álvarez 32, Viña Del Mar, Chile, A..."
815,750000,3.0,80.0,"Reñaca Norte 55, Concón, Viña Del ..."
816,600000,2.0,54.0,"Edmundo Eluchans, 1800 - 2100, Reñ..."
817,430000,1.0,45.0,"Entrelomas 50, Concón, Chile, Cost..."
818,460000,1.0,50.0,"Los Prunos 400, Concón, Chile, Mon..."
819,750000,2.0,75.0,"San Martín, Libertad, Viña Del Mar"
820,600000,3.0,65.0,"Álvarez 32, Viña Del Mar, Chile, A..."
821,750000,3.0,80.0,"Reñaca Norte 55, Concón, Viña Del ..."
822,490000,3.0,70.0,"Camino Los Ingleses, Valparaíso, C..."
823,790000,3.0,70.0,"Entrelomas 110, Concón, Chile, Cos..."
824,480000,1.0,70.0,"Arenales 535, Concón, Chile, Costa..."
825,490000,2.0,78.0,"Antofagasta 1 - 300, Valparaíso, V..."
826,540000,2.0,64.0,"Jardín Del Mar 345, Viña Del Mar, ..."
827,550000,3.0,75.0,"Mantagua, Concón, Chile, Higuerill..."
829,550000,3.0,90.0,"Miraflores, Miraflores, Viña Del M..."
830,420000,3.0,60.0,Departamento En Arriendo En Gomez ...
831,320000,1.0,54.0,"Serrano 1138, Quilpué, Chile, Cent..."
832,550000,2.0,1.0,"Francisco Soza, Montemar, Concón"
833,250000,1.0,18.0,"Cerca Mall Valparaiso, Valparaíso"
834,550000,2.0,77.0,"Avenida Cornisa 600 - 900, Concón,..."
836,512000,2.0,47.0,"Traslaviña 60, Viña Del Mar, Chile..."
838,470000,2.0,55.0,"Avenida José Manuel Balmaceda 833,..."
839,420000,1.0,45.0,"Edmundo Eluchans 2145, Reñaca, Viñ..."
840,410000,1.0,50.0,"Avenida Costa De Montemar, Concón,..."
